# Pathway,2827_Abundance,2828_Abundance,2830_Abundance,2831_Abundance,2832_Abundance,2833_Abundance,2834_Abundance,2836_Abundance,2837_Abundance,2839_Abundance,2840_Abundance,2841_Abundance,2842_Abundance,2845_Abundance,2846_Abundance,2847_Abundance,2850_Abundance,2853_Abundance,2854_Abundance,2855_Abundance,2857_Abundance,2858_Abundance,2859_Abundance,2862_Abundance,2866_Abundance,2867_Abundance,2870_Abundance,2871_Abundance,2872_Abundance
FASYN-ELONG-PWY: fatty acid elongation -- saturated,1.43169e-05,0.0,0.0,0.0,6.93736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.90815e-05,0.0,0.0,0.0,0.0,3.26862e-05,0.0,0.0,0.0,0.0,4.37041e-05,2.25868e-05,0.0,0.0,0.0
FERMENTATION-PWY: mixed acid fermentation,0.0,0.0,2.4561e-05,4.99922e-05,1.51081e-05,3.85867e-05,4.52839e-05,3.49139e-05,1.10366e-05,0.000128817,0.0,0.0,0.0,5.87932e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.19045e-06,3.55553e-06,0.0,0.0,6.52608e-05,9.3676e-06,0.0,0.0,0.0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00377e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALACTARDEG-PWY: D-galactarate degradation I,0.0,0.0,0.0,0.0,1.74988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1821e-06,0.0,0.0,0.0,0.0,0.0,3.34197e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALACTUROCAT-PWY: D-galacturonate degradation I,0.0,6.75517e-06,0.0,0.0,9.80887e-06,2.8138e-05,0.0,1.39475e-05,0.0,1.10154e-05,0.0,0.0,0.0,2.45193e-05,1.60361e-05,0.0,0.0,0.0,1.90243e-05,0.0,2.2391e-05,4.10536e-05,0.0,2.08994e-05,0.0,0.0,0.0,4.86161e-05,0.0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.0,0.0,0.0,6.11271e-05,4.1721e-05,3.37068e-05,0.0,0.0,4.36306e-05,6.58255e-05,0.0,0.0,5.00161e-05,0.000122661,3.02351e-05,2.39516e-05,0.0,1.57144e-05,2.19916e-05,7.155e-06,0.0,2.3052e-05,0.0,0.0,9.55099e-05,1.06017e-05,9.15104e-06,1.2995e-05,0.0
GLUCARDEG-PWY: D-glucarate degradation I,0.0,0.0,0.0,0.0,3.22765e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64217e-06,0.0,0.0,0.0,0.0,0.0,3.34171e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,0.0,0.0,0.0,0.0,1.74988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1821e-06,0.0,0.0,0.0,0.0,0.0,3.34197e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUCONEO-PWY: gluconeogenesis I,8.23325e-05,3.28891e-05,4.95947e-05,5.897e-05,9.73452e-05,5.2715e-05,6.81638e-05,0.000117271,0.0,0.000113526,0.0,0.0,5.0413e-05,9.88455e-05,2.92008e-05,0.0,0.0,0.0,4.92646e-05,0.0,8.3713e-06,5.04556e-05,0.0,0.0,8.69594e-05,4.21657e-05,0.0,0.0,3.10055e-05
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,0.0,0.0,0.0,0.0,0.000185511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96923e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015063,0.0,0.0,0.0,0.0,0.0,0.000154322
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,0.0,0.0,0.0,1.3575e-05,2.88956e-05,4.48725e-05,1.54292e-05,8.76914e-05,2.01644e-05,1.28941e-05,0.0,0.0,1.22685e-05,5.17657e-05,1.92711e-05,0.0,0.0,0.0,2.76957e-05,3.30462e-06,1.44876e-05,3.36681e-05,0.0,1.96205e-05,0.0,8.81983e-06,0.0,4.33067e-05,0.0
GLUDEG-I-PWY: GABA shunt,0.0,0.0,0.0,0.0,0.0,0.0,1.21504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUTORN-PWY: L-ornithine biosynthesis I,8.62217e-05,1.67767e-05,3.39527e-05,9.79943e-06,9.94825e-05,0.000204987,7.46882e-05,0.000147222,5.65858e-05,0.000178279,0.0,2.55195e-05,3.01705e-05,0.000132228,7.37053e-05,1.10442e-05,0.0,9.67718e-06,7.40804e-05,1.83526e-05,3.24231e-05,4.61801e-05,3.28787e-05,6.46796e-05,0.000106714,1.6408e-05,0.0,6.56167e-05,0.0
GLYCOCAT-PWY: glycogen degradation I,0.0,3.66079e-05,2.13161e-05,0.0,0.0,0.0,5.44955e-05,4.82031e-05,5.87725e-05,0.0,0.0,0.0,8.64364e-05,1.21509e-05,0.0,4.03942e-05,0.0,1.993e-05,1.24914e-05,1.36897e-05,0.0,0.0,1.57657e-05,0.0,0.0,0.0,0.0,7.66191e-05,0.0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),0.000109956,0.000367063,0.00011772,0.000251079,0.000258591,0.000294527,0.0001133,0.000164368,0.000173204,0.000332875,0.000419933,0.000280681,0.0002068,0.000324266,8.18035e-05,0.000343533,7.13356e-05,0.000120782,0.000110163,0.00018174,0.000138192,8.83261e-05,0.000142983,0.000197461,0.000266142,0.000235638,9.65459e-05,0.000273122,0.000143993
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,0.0,0.0,0.0,0.0,1.13867e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway,0.0,0.0,0.0,3.16318e-05,2.97392e-05,0.0,6.47249e-05,4.15929e-05,5.89442e-05,0.0,0.0,0.0,6.32077e-05,0.0,0.0,0.0,0.0,3.57949e-05,3.07913e-05,0.0,0.0,0.0,0.0,0.0,4.73782e-05,0.0,0.0,0.0,3.65172e-05
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),0.000148009,7.50723e-05,6.93714e-05,0.000106375,0.000252079,0.000208562,0.000105504,0.000184555,0.000124768,0.00020141,0.00015209,5.58867e-05,0.000152378,0.000144568,0.000108695,0.0,0.0,9.35267e-05,7.07085e-05,7.3629e-05,1.28715e-05,7.30846e-05,8.81798e-05,7.9424e-05,0.000231478,0.000117147,0.0,0.000208125,9.36837e-05
GLYOXYLATE-BYPASS: glyoxylate cycle,0.0,0.0,0.0,0.0,5.79653e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19573e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent),0.0,0.0,0.0,0.0,4.31808e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14851e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HISDEG-PWY: L-histidine degradation I,0.0,0.0,0.0,0.0,0.0,5.2221e-06,0.0,7.84597e-06,0.0,1.1761e-05,0.0,0.0,0.0,1.42808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HISTSYN-PWY: L-histidine biosynthesis,0.000101512,1.51547e-05,4.69733e-05,0.0,0.000124203,0.000117124,7.18215e-05,0.000109512,7.70542e-05,0.000104197,0.0,0.0,3.49356e-05,0.000171159,9.59695e-05,2.13047e-05,0.0,3.74436e-05,5.30254e-05,0.0,2.57258e-05,6.55824e-05,2.71801e-05,6.29167e-05,7.02673e-05,0.0,0.0,5.05521e-05,9.42132e-06
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,0.0,0.0,0.0,0.0,5.53555e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSERMETANA-PWY: L-methionine biosynthesis III,7.27164e-05,1.50787e-05,5.66689e-05,1.92554e-05,7.5718e-05,0.000115667,3.97624e-05,3.10719e-05,1.14668e-05,7.34676e-05,0.0,0.0,3.06982e-05,6.95951e-05,4.94374e-05,0.0,0.0,0.0,1.54594e-05,7.72113e-06,0.0,3.45951e-05,2.02187e-05,4.29861e-05,7.4483e-05,0.0,0.0,0.0,4.98017e-05
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),0.000117877,3.93132e-05,8.16626e-05,8.9561e-05,0.000184739,0.000224527,9.34777e-05,0.00020708,0.00011617,0.000225445,3.96976e-05,4.28654e-05,6.19286e-05,0.000270759,0.000112599,3.24327e-05,0.0,7.99313e-05,6.20592e-05,4.33931e-05,5.32985e-05,0.000135891,6.59673e-05,0.000113301,0.000129172,9.85456e-05,0.0,0.000107503,0.000108687
LACTOSECAT-PWY: lactose and galactose degradation I,1.66828e-05,1.76195e-05,2.57674e-05,1.64127e-05,0.0,1.23013e-05,1.25567e-05,0.0,1.13849e-05,9.20216e-06,0.0,0.0,2.74231e-05,2.31653e-05,1.05859e-05,8.1234e-05,0.0,0.0,0.0,3.85898e-06,0.0,0.0,0.0,0.0,1.58852e-05,0.0,0.0,3.20715e-05,0.0
LIPASYN-PWY: phospholipases,0.0,3.0456e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,0.0,0.0,0.0,0.0,1.07182e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METHGLYUT-PWY: superpathway of methylglyoxal degradation,0.0,0.0,0.0,0.0,2.49951e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis,0.0,0.0,0.0,0.0,9.56513e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli),0.0,0.0,0.0,0.0,1.4266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONMEVIPP-PWY: methylerythritol phosphate pathway I,7.04513e-05,4.55423e-05,3.86213e-05,4.71808e-05,0.000119238,0.000181082,5.24577e-05,9.89167e-05,6.61155e-05,0.000125519,3.31007e-05,3.2857e-05,4.39958e-05,0.000164972,6.34354e-05,2.24973e-05,0.0,4.44086e-05,5.37953e-05,1.11998e-05,4.2114e-05,6.33866e-05,2.77271e-05,3.79513e-05,7.87351e-05,3.07503e-05,0.0,3.29919e-05,4.8257e-05
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I,7.9992e-05,1.91939e-05,3.36349e-05,0.0,6.32176e-05,0.000110893,5.64203e-05,7.94884e-06,0.0,6.27131e-06,4.82924e-05,0.0,9.71573e-06,2.54178e-05,2.53219e-05,5.63081e-05,7.31466e-06,2.33927e-05,3.81638e-05,5.21438e-06,1.05424e-05,5.98319e-05,4.66158e-05,5.98745e-05,4.78148e-05,8.68318e-06,0.0,0.0,2.70173e-05
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),0.000139934,0.00048257,0.000140105,0.000278283,0.000302658,0.000246255,0.000116883,0.000176135,0.000192846,0.000217295,0.000667251,0.000280535,0.000203781,0.000327409,9.51435e-05,0.000140763,6.60049e-05,0.000120587,9.3445e-05,0.000257853,0.000146038,7.78837e-05,7.88414e-05,0.00019759,0.000300123,0.000200146,7.01892e-05,0.00023951,0.000184147
ORNDEG-PWY: superpathway of ornithine degradation,1.14792e-05,0.0,4.42701e-06,0.0,9.35064e-06,0.0,0.0,0.0,0.0,1.36319e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23751e-06,0.0,1.15477e-05,0.0,0.0,0.0,0.0
P108-PWY: pyruvate fermentation to propanoate I,0.0,0.0,0.0,0.0,6.0407e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P122-PWY: heterolactic fermentation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97069e-05,2.22171e-05,0.0,0.0,0.0,4.27147e-05,0.0,0.0,0.0,0.0,0.0,1.31724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P124-PWY: Bifidobacterium shunt,0.0,3.08096e-05,1.22909e-05,0.0,1.6203e-05,0.0,3.89142e-05,0.0,0.0,0.0,0.0,0.0,2.24137e-05,2.13662e-05,0.0,0.0,0.0,0.0,2.20095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P161-PWY: acetylene degradation (anaerobic),0.0,6.03879e-05,6.92347e-06,1.64222e-05,4.66185e-05,3.77062e-05,1.17087e-05,4.17849e-05,8.52897e-06,6.90022e-06,0.0,0.0,4.58796e-05,7.96494e-05,7.5527e-06,4.00995e-05,7.31145e-06,7.85473e-06,1.19714e-05,0.0,5.416e-06,0.0,2.36126e-05,0.0,5.83418e-05,9.8953e-06,1.3785e-05,5.25046e-05,1.1153e-05
P164-PWY: purine nucleobases degradation I (anaerobic),0.0,0.0,0.0,0.0,0.0,5.46613e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0501e-06
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I,4.34419e-05,0.000112186,4.86244e-05,2.28368e-05,4.73479e-05,4.93746e-05,8.98453e-05,5.07382e-05,4.33531e-05,7.39403e-06,2.25146e-05,0.0,6.18489e-05,0.000110927,8.08158e-06,5.35164e-05,1.98103e-05,9.36879e-06,1.27574e-05,0.0,7.29014e-06,0.0,3.52907e-05,0.0,0.000114412,1.34056e-05,2.40892e-05,7.64572e-05,1.28566e-05
P42-PWY: incomplete reductive TCA cycle,2.48515e-05,0.0,8.93804e-06,0.0,0.0,0.0,5.32037e-06,2.23911e-05,0.0,0.0,0.0,0.0,0.0,6.55822e-06,2.20723e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.02041e-05,1.11388e-05,0.0,0.0,0.0,0.0,0.0,2.88999e-05
P441-PWY: superpathway of N-acetylneuraminate degradation,0.0,0.0,0.0,4.2257e-05,7.16911e-05,0.0,0.0,0.0,3.78816e-05,2.4473e-05,0.0,0.0,6.78795e-05,0.000103322,2.1041e-05,0.0,0.0,1.79398e-05,2.59923e-05,0.0,0.0,0.0,0.0,0.0,9.43008e-05,1.87567e-05,0.0,0.0,0.0
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",0.0,3.68531e-05,1.44401e-05,4.29484e-05,0.000163963,0.0,2.07349e-05,4.5701e-05,1.68521e-05,1.41384e-05,0.0,0.0,6.25932e-05,0.000103626,7.58356e-06,0.0,0.0,1.69644e-05,2.08221e-05,0.0,0.0,0.0,0.0,0.0,0.000109802,2.61176e-05,0.0,0.0,2.25245e-05
PANTO-PWY: phosphopantothenate biosynthesis I,0.00011182,5.10535e-05,4.21928e-05,0.0,0.000111072,4.89106e-05,4.90389e-05,7.50701e-05,1.83079e-05,0.000103063,5.28984e-05,0.0,0.0,0.000155645,7.24209e-05,2.61034e-05,0.0,9.54409e-05,3.60776e-05,0.0,5.27867e-05,9.14126e-05,5.34186e-05,6.34865e-05,0.000112311,1.63534e-05,0.0,1.49264e-05,3.95348e-05
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),9.8223e-05,5.1919e-05,6.37957e-05,0.0,7.57211e-05,7.60299e-05,6.40748e-05,9.20299e-05,1.61812e-05,0.000146763,0.0,0.0,0.0,0.000170841,8.22234e-05,0.0,0.0,5.72839e-05,3.1798e-05,0.0,6.07831e-05,5.82533e-05,3.25662e-05,0.0,5.88433e-05,0.0,0.0,1.51304e-05,5.64069e-05
PENTOSE-P-PWY: pentose phosphate pathway,0.0,2.40715e-05,3.06387e-05,0.0,7.35814e-05,9.71755e-05,5.18778e-05,1.12882e-05,0.0,7.28862e-06,2.04888e-05,0.0,1.56328e-05,2.87518e-05,9.95086e-06,0.0,0.0,2.92458e-05,3.25413e-05,7.01151e-06,1.41105e-05,0.0,3.726e-05,3.80878e-05,5.7361e-05,1.1167e-05,0.0,0.0,2.87695e-05
